DATE,VXVCLS
2019-07-12,14.8
2019-07-15,15.04
2019-07-16,15.22
2019-07-17,15.82
2019-07-18,15.54
2019-07-19,15.93
2019-07-22,15.47
2019-07-23,14.93
2019-07-24,14.56
2019-07-25,15.05
2019-07-26,14.69
2019-07-29,15.0
2019-07-30,15.7
2019-07-31,16.91
2019-08-01,17.99
2019-08-02,17.89
2019-08-05,21.9
2019-08-06,19.69
2019-08-07,19.5
2019-08-08,17.86
2019-08-09,18.56
2019-08-12,20.5
2019-08-13,18.53
2019-08-14,21.3
2019-08-15,21.07
2019-08-16,19.7
