,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
          Industrial organic chemicals,7072,7173,7268,6671,6010,6083,5801,5650,5760,6122,6648,6558,6088,6775,6461,7136,7267,7700,7526,7964,7189,6339
          Other chemicals,3026,3193,3271,3162,3155,3216,3049,2969,2970,3096,2984,2980,2958,3058,3149,3354,3404,3463,3529,3638,3586,3415
        Building materials except metals,6661,7069,7222,7341,7395,7364,7535,7573,7756,7921,8205,8497,8674,8553,8575,9405,9267,9821,10053,9693,8787,8680
        Other nonmetals,8074,8369,8418,8497,8626,8562,8575,8323,8329,8332,8376,8654,8646,8914,9108,9459,9788,9810,10025,10322,10248,9815
        Metals and nonmetallic products,27066,28799,28913,30011,28733,25808,24339,22819,21774,22321,24184,24606,26172,27944,27952,29310,30640,30849,30376,30402,29056,28174
          Steelmaking materials,2164,2194,2244,2218,1890,1357,1471,1292,1050,1184,1428,1218,1804,2063,2062,2203,2320,2485,2416,2694,2383,2153
          Iron and steel products,10636,11286,11823,12500,11973,10174,9229,8728,8166,7982,8755,8848,9224,10240,9962,10007,10588,10742,10629,10671,10380,9490
          Nonferrous metals,8701,9786,9308,9841,9419,8937,7892,7379,7143,7639,8741,8891,9686,9895,10209,11224,11558,11311,10607,10268,9693,10204
            Precious metals except nonmonetary gold,2681,3063,2406,2649,2436,2303,2027,2058,1793,2007,2601,2325,2227,2394,2262,2722,2694,2704,2654,2844,2525,2663
            Bauxite and aluminum,2513,2804,2914,3452,3351,3181,2877,2695,2860,2948,3170,3413,3789,3917,4072,4526,4329,4130,4069,3984,3641,3612
            Other nonferrous metals,3507,3918,3988,3740,3632,3454,2988,2626,2490,2683,2970,3154,3669,3584,3874,3977,4535,4477,3885,3440,3527,3929
          Other metals and nonmetallic products,5566,5533,5539,5452,5451,5339,5748,5420,5415,5517,5260,5649,5458,5746,5719,5875,6175,6312,6725,6768,6600,6328
    Capital goods except automotive,144332,149288,151962,153178,154123,153041,150440,149555,145851,148878,148598,150287,153362,157779,162772,168974,170434,174076,176328,175102,172328,170702
      Machinery and equipment except consumer-type,129866,134409,136023,138160,138484,137083,134935,134084,132145,133578,135038,136954,139862,143850,148329,154312,156093,158547,160693,159072,154540,153039
"        Electric-generating machinery, electric apparatus and parts",17432,17872,18109,18273,18429,18193,17549,17631,17257,17532,17678,18031,18514,18809,18960,19576,20231,20832,21306,21531,20594,20335
"        Oil-drilling, mining, and construction machinery",5467,6045,6139,6464,6795,6033,4398,3862,3865,3601,3562,3662,4038,4710,5280,5759,5536,5836,5587,5834,6354,5841
"        Industrial engines, pumps, and compressors",5841,6256,6427,6338,6260,6377,5898,5795,5661,5590,5534,5690,5982,6117,6300,6279,6551,6725,6886,7072,6931,6844
        Machine tools and metalworking machinery,2794,2743,2984,2895,2958,2901,2801,2803,2690,2658,2835,2721,2775,3014,2946,3310,3392,3293,3359,3218,3416,3231
"        Measuring, testing, and control instruments",4950,5000,5062,5159,5302,5127,5048,5040,4885,4951,5043,5236,5183,5314,5565,5628,5815,5848,5756,5837,5780,5676
        Other industrial machinery,20815,22153,22251,21811,22028,21825,21175,21092,20497,20568,20839,21127,22014,23055,23802,24716,25153,25601,26113,26781,26263,26287
        Other service-industry and agricultural machinery,7245,7273,7377,7314,7325,7376,7451,7485,7316,7158,7160,7224,7403,7523,7774,8004,8254,8462,8630,8966,8617,8533
        Computers,15592,15644,15843,16921,15495,15490,16376,15908,15402,15434,14974,15069,15601,16947,18420,17946,19071,19674,19896,18938,19538,20867
"        Computer accessories, peripherals, and parts",14291,14218,14231,15246,15136,14174,14132,13565,13185,12992,13438,14089,13963,14432,15298,15812,16130,16330,16726,15612,13788,12939
        Semiconductors,10378,11119,11114,11431,10974,11524,11744,12005,12670,13373,13138,12598,12991,12826,13290,15044,13638,13421,13610,13600,13275,12567
        Telecommunications equipment,14130,14851,15029,14837,15987,16266,16784,17281,16932,17674,18437,18966,18897,18497,17779,19078,18717,18836,18972,17566,15546,15251
        Other office and business machines,1217,1210,1185,1213,1299,1299,1268,1238,1329,1277,1359,1394,1336,1351,1341,1296,1320,1287,1282,1278,1324,1267
"        Scientific, hospital, and medical equipment and parts",9715,10024,10271,10257,10497,10500,10310,10378,10456,10770,11042,11148,11163,11255,11574,11865,12285,12405,12570,12841,13114,13402
"      Civilian aircraft, engines, and parts",12966,13227,14049,13037,13867,13991,13742,13648,12310,13704,12199,11783,12448,12630,13191,13098,12857,13989,14154,14453,16406,15994
"        Civilian aircraft, complete, all types",4062,4171,4646,3852,4631,4577,4562,4525,3197,4434,3165,3045,3323,3485,3587,3367,2818,3467,2764,3225,3212,3979
        Engines and parts,8904,9056,9403,9185,9235,9414,9180,9122,9113,9270,9034,8739,9125,9145,9604,9731,10039,10522,11390,11228,13194,12015
      Other transportation equipment,1499,1652,1889,1980,1773,1967,1763,1824,1396,1596,1362,1549,1051,1299,1253,1564,1485,1539,1481,1576,1382,1669
"    Automotive vehicles, parts, and engines",78115,83215,84006,84162,83686,88539,89383,88441,87163,86708,88063,88914,89697,89756,89486,90251,92352,90780,93978,96013,95529,97000
      From Canada,14276,16192,16695,16317,14374,15393,16266,16579,16551,15965,16492,15892,16082,16054,15066,15169,15543,14973,14623,14916,14725,15147
"        Passenger cars, new and used",9425,11012,11385,11095,9576,10095,10984,11700,11740,11095,11539,10990,11256,11443,10384,10197,10225,9511,8850,9034,8825,9318
"        Trucks, buses, and special purpose vehicles",636,683,671,714,764,728,783,665,741,706,712,754,774,790,820,861,1039,1281,1474,1617,1646,1648
        Engines and engine parts,872,993,971,947,837,998,974,913,949,897,929,889,878,833,810,917,950,901,914,859,866,860
        Other parts and accessories,3344,3504,3668,3561,3197,3572,3526,3300,3121,3267,3312,3259,3173,2988,3052,3193,3330,3281,3386,3407,3389,3322
